trial_index,left_type,right_type,left_ori,right_ori,left_sf_cpd,right_sf_cpd,left_size_deg,right_size_deg,left_sf_cyc_per_pix,right_sf_cyc_per_pix,left_size_pix,right_size_pix,stim_on_s,stim_off_s
1,B,A,45.0,0.0,0.1,0.1,70.0,70.0,0.012732072236589958,0.012732072236589958,550,550,5.059428800013848,7.378597799979616
2,A,B,0.0,45.0,0.1,0.1,70.0,70.0,0.012732072236589958,0.012732072236589958,550,550,10.56173850002233,12.9414540999569
3,A,B,0.0,45.0,0.1,0.1,70.0,70.0,0.012732072236589958,0.012732072236589958,550,550,16.16119360004086,14.428727099962998
4,A,B,0.0,45.0,0.1,0.1,70.0,70.0,0.012732072236589958,0.012732072236589958,550,550,17.612340300052892,20.23612169997068
5,B,A,45.0,0.0,0.1,0.1,70.0,70.0,0.012732072236589958,0.012732072236589958,550,550,23.425478400022257,25.770528899971396
6,B,A,45.0,0.0,0.1,0.1,70.0,70.0,0.012732072236589958,0.012732072236589958,550,550,28.953663900028914,31.303399799973704
7,B,A,45.0,0.0,0.1,0.1,70.0,70.0,0.012732072236589958,0.012732072236589958,550,550,34.48552730004303,35.55332609999459
8,A,B,0.0,45.0,0.1,0.1,70.0,70.0,0.012732072236589958,0.012732072236589958,550,550,38.73565350001445,36.33710710000014
9,A,B,0.0,45.0,0.1,0.1,70.0,70.0,0.012732072236589958,0.012732072236589958,550,550,39.51879760000156,41.89835709996987
10,A,B,0.0,45.0,0.1,0.1,70.0,70.0,0.012732072236589958,0.012732072236589958,550,550,45.08135490003042,47.44389130000491
