date,	EphysFolder,	PassiveFolder,	TaskFile
260719,	CnL46_20260719,	CnL46_20260719_204632.rec,	CnL46_drifting_grating_exp_20260719_204734.txt
260726,	CnL46_20260726,	CnL46_passive_20260726_121143.rec,	CnL46_drifting_grating_exp_20260726_121203.txt
260727,	CnL46_20260727,	CnL46_passive_20260727_130929.rec,	CnL46_drifting_grating_exp_20260727_131003.txt
260728,	CnL46_20260728,	CnL46_passive_20260728_125935.rec,	CnL46_drifting_grating_exp_20260728_130007.txt
260729,	CnL46_20260729,	CnL46_passive_20260729_153008.rec,	CnL46_drifting_grating_exp_20260729_153541.txt
260730,	CnL46_20260730,	CnL46_passive_20260730_143648.rec,	CnL46_drifting_grating_exp_20260730_143930.txt
260731,	CnL46_20260731,	CnL46_passive_20260731_135629.rec,	CnL46_drifting_grating_exp_20260731_135728.txt
260801,	CnL46_20260801,	CnL46_passive_20260801_122837.rec,	CnL46_drifting_grating_exp_20260801_122949.txt
260802,	CnL46_20260802,	CnL46_passive_20260802_174203.rec,	CnL46_drifting_grating_exp_20260802_174239.txt
260803,	CnL46_20260803,	CnL46_passive_20260803_122459.rec,	CnL46_drifting_grating_exp_20260803_122531.txt
260804,	CnL46_20260804,	CnL46_passive_20260804_122858.rec,	CnL46_drifting_grating_exp_20260804_122919.txt
260805,	CnL46_20260805,	CnL46_passive_20260805_120059.rec,	CnL46_drifting_grating_exp_20260805_120435.txt
260806,	CnL46_20260806,	CnL46_passive_20260806_124125.rec,	CnL46_drifting_grating_exp_20260806_124216.txt
260807,	CnL46_20260807,	Cnl46_passive_20260807_120833.rec,	CnL46_drifting_grating_exp_20260807_120913.txt
260808,	CnL46_20260808,	CnL46_passive_20260808_135012.rec,	CnL46_drifting_grating_exp_20260808_135343.txt
260809,	CnL46_20260809,	CnL46_passive2_20260809_150252.rec,	CnL46_drifting_grating_exp_20260809_150316.txt
260810,	CnL46_20260810,	CnL46_passive_20260810_140928.rec,	CnL46_drifting_grating_exp_20260810_140955.txt
260811,	CnL46_20260811,	CnL46_passive_20260811_144716.rec,	CnL46_drifting_grating_exp_20260811_144952.txt
260812,	CnL46_20260812,	CnL46_passive_20260812_143136.rec,	CnL46_drifting_grating_exp_20260812_144711.txt
260813,	CnL46_20260813,	CnL46_passive_20260813_142304.rec,	CnL46_drifting_grating_exp_20260813_142416.txt
260814,	CnL46_20260814,	CnL46_passive_20260814_161157.rec,	CnL46_drifting_grating_exp_20260814_161259.txt
260815,	CnL46_20260815,	CnL46_passive_20260815_144013.rec,	CnL46_drifting_grating_exp_20260815_144100.txt
260816,	CnL46_20260816,	CnL46_passive_20260816_154225.rec,	CnL46_drifting_grating_exp_20260816_154300.txt
260817,	CnL46_20260817,	CnL46_passive_20260817_144853.rec,	CnL46_drifting_grating_exp_20260817_144958.txt
