spikegadget,xcoord,ycoord,sh
0,325,75,1
1,350,225,1
2,350,175,1
3,325,250,1
4,350,150,1
5,325,225,1
6,325,275,1
7,325,100,1
8,350,350,1
9,325,175,1
10,325,150,1
11,350,375,1
12,350,100,1
13,350,250,1
14,350,50,1
15,325,375,1
16,350,125,1
17,350,300,1
18,350,75,1
19,325,350,1
20,325,325,1
21,350,25,1
22,350,325,1
23,0,250,0
24,0,50,0
25,350,0,1
26,0,0,0
27,325,300,1
28,0,25,0
29,350,275,1
30,25,225,0
31,350,200,1
32,325,125,1
33,325,200,1
34,325,0,1
35,325,25,1
36,25,200,0
37,0,200,0
38,325,50,1
39,25,175,0
40,0,225,0
41,0,175,0
42,25,375,0
43,25,150,0
44,0,375,0
45,0,150,0
46,25,350,0
47,25,125,0
48,25,100,0
49,0,350,0
50,25,75,0
51,25,325,0
52,25,50,0
53,0,325,0
54,25,25,0
55,25,300,0
56,25,0,0
57,0,300,0
58,0,125,0
59,25,275,0
60,0,100,0
61,0,275,0
62,0,75,0
63,25,250,0
64,1000,175,3
65,975,350,3
66,975,150,3
67,1000,325,3
68,1000,125,3
69,975,325,3
70,1000,100,3
71,1000,300,3
72,1000,75,3
73,975,300,3
74,1000,50,3
75,1000,275,3
76,1000,25,3
77,975,275,3
78,1000,0,3
79,1000,250,3
80,975,250,3
81,975,125,3
82,1000,225,3
83,975,100,3
84,975,225,3
85,975,75,3
86,1000,200,3
87,975,50,3
88,975,200,3
89,650,225,2
90,975,25,3
91,975,0,3
92,650,200,2
93,675,200,2
94,650,25,2
95,650,0,2
96,675,325,2
97,1000,150,3
98,675,75,2
99,1000,375,3
100,675,100,2
101,975,375,3
102,650,350,2
103,1000,350,3
104,975,175,3
105,675,150,2
106,675,350,2
107,675,125,2
108,650,175,2
109,675,375,2
110,650,150,2
111,675,300,2
112,675,50,2
113,650,375,2
114,650,125,2
115,650,325,2
116,675,25,2
117,650,300,2
118,650,275,2
119,675,175,2
120,650,250,2
121,675,0,2
122,650,50,2
123,675,275,2
124,650,100,2
125,675,250,2
126,650,75,2
127,675,225,2
