date,EphysFolder,PassiveFolder,TaskFile
260225,CnL42SG_20260225,CnL42_passive2_20260225_183349.rec,CnL42_drifting_grating_exp_20260225_183450.txt;CnL42_drifting_grating_exp_20260225_191737.txt
260305,CnL42SG_20260305,CnL42_passive_20260305_143636.rec,CnL42_drifting_grating_exp_20260305_143806.txt
260320,CnL42SG_20260320,CnL42_passive_20260320_130227.rec,CnL42_drifting_grating_exp_20260320_130447.txt;CnL42_drifting_grating_exp_20260320_142532.txt
260319,CnL42SG_20260319,CnL42_passive_20260319_124530.rec,CnL42_drifting_grating_exp_20260319_124602.txt;CnL42_drifting_grating_exp_20260319_140702.txt
260318,CnL42SG_20260318,CnL42_passive_20260318_133804.rec,CnL42_drifting_grating_exp_20260318_134011.txt;CnL42_drifting_grating_exp_20260318_152629.txt
260317,CnL42SG_20260317,CnL42_passive_20260317_124811.rec;CnL42_passive2_20260317_142233.rec,CnL42_drifting_grating_exp_20260317_124931.txt;CnL42_drifting_grating_exp_20260317_142257.txt
260316,CnL42SG_20260316,CnL42_passive_20260316_145843.rec;CnL42_passive2_20260316_162511.rec,CnL42_drifting_grating_exp_20260316_145913.txt;CnL42_drifting_grating_exp_20260316_162642.txt
260313,CnL42SG_20260313,CnL42_passive_20260313_151347.rec;CnL42_passive2_20260313_160339.rec;CNL42_passive4_20260313_163938.rec,CnL42_drifting_grating_exp_20260313_151355.txt;CnL42_drifting_grating_exp_20260313_160404.txt;CnL42_drifting_grating_exp_20260313_163952.txt
260323,CnL42SG_20260323,CnL42_passive_20260323_135050.rec,Cnl42_drifting_grating_exp_20260323_135355.txt;CnL42_drifting_grating_exp_20260323_155035.txt
260324,CnL42SG_20260324,CnL42_passive_20260324_152834.rec,CnL42_drifting_grating_exp_20260324_153327.txt;CnL42_drifting_grating_exp_20260324_162155.txt
260325,CnL42SG_20260325,CnL42_passive_20260325_150011.rec,CnL42_drifting_grating_exp_20260325_150235.txt;CnL42_drifting_grating_exp_20260325_155653.txt
